outward_length,inward_length,angle,response,reaction_time
5.2,6.0,30,in,1.0064682000083849
4.0,6.0,30,in,0.5903278000187129
4.8,6.0,30,in,0.5052109000971541
8.0,6.0,30,out,0.4959949000040069
6.0,6.0,30,in,0.5221832999959588
4.8,6.0,30,in,0.5373547000344843
6.800000000000001,6.0,30,in,0.7581980000250041
4.0,6.0,30,in,0.518789800000377
7.2,6.0,30,out,0.8635558999376372
6.800000000000001,6.0,30,in,1.1481864999514073
6.4,6.0,30,in,0.6105948999756947
6.800000000000001,6.0,30,in,0.5912080999696627
5.2,6.0,30,in,0.5917791000101715
4.4,6.0,30,in,0.49969880003482103
7.6,6.0,30,out,0.8563536999281496
6.4,6.0,30,in,0.7932662999955937
4.8,6.0,30,in,0.5424985000863671
8.0,6.0,30,out,0.7905083000659943
7.2,6.0,30,in,0.9270104999886826
7.2,6.0,30,in,0.8905885999556631
6.800000000000001,6.0,30,out,1.005034999921918
5.6,6.0,30,in,0.6684186999918893
4.8,6.0,30,in,0.5757420000154525
6.4,6.0,30,out,1.2360291000222787
7.6,6.0,30,out,0.9213533999864012
4.4,6.0,30,in,0.7523904000408947
5.6,6.0,30,in,0.6335099000716582
6.0,6.0,30,in,0.8327711999882013
4.4,6.0,30,in,0.7084024999057874
8.0,6.0,30,out,0.7210902000078931
5.6,6.0,30,in,0.5947371999500319
8.0,6.0,30,out,0.7561233999440446
7.6,6.0,30,out,0.7981499000452459
4.4,6.0,30,in,0.617859199992381
6.0,6.0,30,in,0.48462679993826896
7.2,6.0,30,out,1.530684299999848
7.6,6.0,30,out,1.1344698999309912
5.6,6.0,30,in,0.4924102999502793
6.4,6.0,30,in,0.5390125999692827
5.2,6.0,30,in,0.6019821999361739
4.0,6.0,30,in,0.5112296000588685
4.0,6.0,30,in,0.5564846999477595
5.2,6.0,30,in,0.5562609999906272
6.0,6.0,30,in,0.5268685000482947
