outward_length,inward_length,angle,response,reaction_time
4.4,6.0,30,in,0.8342378999805078
5.2,6.0,30,in,0.7580379999708384
5.2,6.0,30,in,0.5416545000625774
6.4,6.0,30,in,0.5698093000100926
6.800000000000001,6.0,30,in,1.6326128999935463
7.6,6.0,30,out,1.1326745999976993
5.2,6.0,30,in,0.9222468000371009
8.0,6.0,30,out,0.7531541000353172
6.800000000000001,6.0,30,in,0.926864100038074
4.4,6.0,30,in,0.5478712000185624
6.4,6.0,30,in,0.7055942000588402
4.8,6.0,30,in,0.6011790999909863
5.6,6.0,30,in,0.5243104000110179
6.4,6.0,30,in,0.4423943000147119
6.0,6.0,30,in,0.5568195000523701
8.0,6.0,30,out,0.5510740999598056
4.4,6.0,30,in,0.4700753999641165
7.2,6.0,30,out,1.2828128000255674
4.4,6.0,30,in,0.9154043999733403
6.800000000000001,6.0,30,in,0.9155749999918044
4.0,6.0,30,in,0.6429236000403762
6.800000000000001,6.0,30,in,0.8202108000405133
5.6,6.0,30,in,0.4812321000499651
7.6,6.0,30,out,0.6431650000158697
4.8,6.0,30,in,0.5142022999934852
5.6,6.0,30,in,0.641359300003387
7.2,6.0,30,in,0.6120189999928698
6.0,6.0,30,in,0.457455400028266
8.0,6.0,30,out,0.4917430999921635
7.6,6.0,30,out,0.9057669000467286
5.6,6.0,30,in,0.6505823999177665
7.6,6.0,30,out,1.1117476999061182
6.4,6.0,30,in,1.1771173999877647
7.2,6.0,30,in,0.42556759994477034
5.2,6.0,30,in,0.3683941999915987
7.2,6.0,30,in,0.4983840000350028
6.0,6.0,30,in,0.4402018999680877
4.0,6.0,30,in,0.381964199943468
4.8,6.0,30,in,0.45668099995236844
4.8,6.0,30,in,0.44061649998184294
4.0,6.0,30,in,0.5182834001025185
8.0,6.0,30,out,0.49830960005056113
4.0,6.0,30,in,0.6607351000420749
6.0,6.0,30,in,0.4638229999691248
